16258 intersection 10.0 0.0 green
18264 intersection 10.0 0.0 green
20269 intersection 10.0 0.0 red
22275 intersection 10.0 0.0 red
24279 intersection 10.0 0.0 red
26288 intersection 10.0 0.0 green
28292 intersection 10.0 0.0 green
30296 intersection 10.0 0.0 red
32300 intersection 10.0 0.0 red
34304 intersection 10.0 0.0 red
36308 intersection 10.0 0.0 green
38314 intersection 10.0 0.0 green
40320 intersection 10.0 0.0 red
42324 intersection 10.0 0.0 red
44328 intersection 10.0 0.0 red
46332 intersection 10.0 0.0 green
14.18 intersection 10.0 0.0 null red
16.211 intersection 10.0 0.0 null red
18.22 intersection 10.0 0.0 null red
20.234 intersection 10.0 0.0 null red
22.244 intersection 10.0 0.0 null red
24.261 intersection 10.0 0.0 null red
26.279 intersection 10.0 0.0 null red
28.287 intersection 10.0 0.0 null red
30.292 intersection 10.0 0.0 null red
32.301 intersection 10.0 0.0 null red
34.31 intersection 10.0 0.0 null red
36.32 intersection 10.0 0.0 null red
38.324 intersection 10.0 0.0 null red
40.329 intersection 10.0 0.0 null red
42.34 intersection 10.0 0.0 null red
44.363 intersection 10.0 0.0 null red
46.376 intersection 10.0 0.0 null red
48.386 intersection 10.0 0.0 null red
50.391 intersection 10.0 0.0 null red
52.402 intersection 10.0 0.0 null red
54.412 intersection 10.0 0.0 null red
56.419 intersection 10.0 0.0 null red
58.424 intersection 10.0 0.0 null red
60.435 intersection 10.0 0.0 null red
62.44 intersection 10.0 0.0 null red
64.449 intersection 10.0 0.0 null red
66.456 intersection 10.0 0.0 null red
68.466 intersection 10.0 0.0 null red
70.47 intersection 10.0 0.0 null red
72.48 intersection 10.0 0.0 null red
74.49 intersection 10.0 0.0 null red
76.495 intersection 10.0 0.0 null red
78.499 intersection 10.0 0.0 null red
80.504 intersection 10.0 0.0 null red
82.514 intersection 10.0 0.0 null red
84.52 intersection 10.0 0.0 null red
86.527 intersection 10.0 0.0 null red
88.532 intersection 10.0 0.0 null red
90.543 intersection 10.0 0.0 null red
92.551 intersection 10.0 0.0 null red
